model,scenario,region,variable,unit,year,value
MESSAGEix-Pakistan 1,LTS_nexus,B22|PAKISTAN,Water Extraction|Groundwater,MCM/yr,2050,5.576165628
MESSAGEix-Pakistan 1,LTS_nexus,B22|PAKISTAN,Water Extraction|Groundwater,MCM/yr,2055,5.274474795
MESSAGEix-Pakistan 1,LTS_nexus,B22|PAKISTAN,Water Extraction|Groundwater,MCM/yr,2060,4.2492738
MESSAGEix-Pakistan 1,LTS_nexus,B22|PAKISTAN,Water Extraction|Groundwater,MCM/yr,2070,3.9888593236749004
MESSAGEix-Pakistan 1,LTS_nexus,B24|PAKISTAN,Water Extraction|Groundwater,MCM/yr,2045,5.176573533
MESSAGEix-Pakistan 1,LTS_nexus,B24|PAKISTAN,Water Extraction|Groundwater,MCM/yr,2050,5.351588471
MESSAGEix-Pakistan 1,LTS_nexus,B24|PAKISTAN,Water Extraction|Groundwater,MCM/yr,2055,5.404474271
MESSAGEix-Pakistan 1,LTS_nexus,B24|PAKISTAN,Water Extraction|Groundwater,MCM/yr,2060,4.795243826
MESSAGEix-Pakistan 1,LTS_nexus,B24|PAKISTAN,Water Extraction|Groundwater,MCM/yr,2070,4.529659415
MESSAGEix-Pakistan 1,LTS_nexus,B2|AFGHAN_NORTH,Water Extraction|Groundwater,MCM/yr,2025,0.5108756997324999
MESSAGEix-Pakistan 1,LTS_nexus,B2|AFGHAN_NORTH,Water Extraction|Groundwater,MCM/yr,2030,0.5364189962363001
MESSAGEix-Pakistan 1,LTS_nexus,B2|AFGHAN_NORTH,Water Extraction|Groundwater,MCM/yr,2035,0.6374986541848999
MESSAGEix-Pakistan 1,LTS_nexus,B2|AFGHAN_NORTH,Water Extraction|Groundwater,MCM/yr,2040,0.8479639693783001
MESSAGEix-Pakistan 1,LTS_nexus,B2|AFGHAN_NORTH,Water Extraction|Groundwater,MCM/yr,2045,0.898875885
